,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الواردات حسب الأصناف والدول,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,Imports by Commodities and Countries,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,الوزن طن,القيمة مليون ريال,,عام,,2020,Year,,Value  (Million S R),Weight Tons,
3,,,,,,,,,,,الصادرات,,إعادة الصادرات,,المجموع,
4,,,,,,,,,,,Exports,,ReExports,,Total,
5,,الفصل,,,رقم البند,,,,,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة
6,,,وصف الفصل,Chapter Description,Item No.,الأصناف,Commodities,,,* سلع ذات وحدات عددية,Weight,Value,Weight,Value,Weight,Value
15528,,,,,85043400,غيرها من محولات ، تزيد قدرتها عن 500 كيلو فولت امبير,"OTHER TRANSFORMERS, OVER 500 KVA",,,,549.177,6.749461,82.773,3.567097,631.95,10.316557999999999
15529,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,3.774,0.206456,3.774,0.206456
15530,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,7.226,0.108412,7.226,0.108412
15531,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,549.177,6.749461,0,0,549.177,6.749461
15532,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.822,0.004846,0.822,0.004846
15533,,,,,,,,دول اوروبا عدا دول الاتحاد الأوروبي,EUROPE NOT EUROPEAN UNION,,0,0,0.787,1.615305,0.787,1.615305
15534,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,0,0,70.164,1.632078,70.164,1.632078
15535,,,,,85044010,مغيرات كهربائية ساكنة لآلات معالجة البيانات ذاتيا ووحداتها,Static converters for automatic data processing machines and unit,,,,1.01,0.136003,20.308,2.3807799999999997,21.317999999999998,2.516783
15536,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,0.006,0.011479,0.006,0.011479
15537,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,1.998,0.933097,1.998,0.933097
15538,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,0,0,10.11,0.203669,10.11,0.203669
15539,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.138,0.072727,0.138,0.072727
15540,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,1.01,0.136003,8.056,1.159808,9.065999999999999,1.295811
15541,,,,,85044090,غيرها من مغيرات كهربائية ساكنة,Other Static converters,,,,6.034000000000001,0.438236,77.555,24.213238,83.589,24.651474
15542,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,0.968,0.752695,0.968,0.752695
15543,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0.001,0.000446,17.408,3.517483,17.409000000000002,3.517929
15544,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,0,0,9.408,1.726274,9.408,1.726274
