,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
3809,0,25,49,Other Arab League Countries,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS 4.75MM OR MORE,72082500
3810,0,34,52,Islamic not Arabic countries,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS 4.75MM OR MORE,72082500
3811,0,6,9,"Asian not Arabic ,not Islamic",OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS 4.75MM OR MORE,72082500
3812,0,9,21,European Union,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS 4.75MM OR MORE,72082500
3813,0,0,0,Other Country Groups,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS 4.75MM OR MORE,72082500
3814,0,1,1,Other Arab League Countries,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS (3 - 4.74)MM,72082600
3815,0,3,5,Islamic not Arabic countries,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS (3 - 4.74)MM,72082600
3816,0,6,10,"Asian not Arabic ,not Islamic",OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS (3 - 4.74)MM,72082600
3817,0,0,0,Other Country Groups,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS (3 - 4.74)MM,72082600
3818,0,1,4,Other Arab League Countries,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS LESS THAN 3MM,72082700
3819,0,10,24,Other Arab League Countries,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS (4.75-10)MM,72083700
3820,0,10,25,European Union,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS (4.75-10)MM,72083700
3821,0,0,0,Other Country Groups,OTHER FLAT-ROLLED PRODUCTS OF IRONS OF THICKNESS (4.75-10)MM,72083700
3822,0,213,504,Gulf Cooperation Council,PRODUCTS OF FLATTENED CAST IRON WITH THICKNESS < 3MM.,72083900
3823,0,1,6,Gulf Cooperation Council,PRODUCTS OF FLATTENED CAST IRON W/ THICKNESS < 10MM.,72085100
